Borough,Latitude,Longitude,,
Bos en Lommer,52.3806880,4.855018,,
Staatsliedenbuurt,52.3822330,4.870997,,
Jordaan,52.3752510,4.877648,,"52.375251, 4.877648"
Negen straatjes,52.3703990,4.884536,,
Oud-West,52.3648650,4.866000,,
De Wallen,52.3716940,4.896058,,
De Baarsjes,52.3697630,4.853405,,
Hoofddorppleinbuurt,52.3516720,4.851630,,
Oud-Zuid,52.3481460,4.871722,,
Museumkwartier,52.3572010,4.879887,,
De Pijp,52.3535850,4.898107,,
Rivierenbuurt,52.3431100,4.900426,,
Weesperzijde,52.3554350,4.915100,,
Plantagebuurt,52.3648860,4.911367,,
Grachtengordel Zuid,52.3636260,4.892250,,
Grachtengordel West,52.3774850,4.890095,,
