,Borough,Borough Latitude,Borough Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Bos en Lommer,52.380688,4.855018,Friedhats FUKU cafe,52.381161369317034,4.8552475021908865,Coffee Shop
1,Bos en Lommer,52.380688,4.855018,Samen - Lunch & Juice,52.382615530467305,4.855640000488831,Café
2,Bos en Lommer,52.380688,4.855018,Restaurant Betawi,52.38098433022274,4.854042239794505,Indonesian Restaurant
3,Bos en Lommer,52.380688,4.855018,Hartje Bos,52.37902883862678,4.85661337911575,Sandwich Place
4,Bos en Lommer,52.380688,4.855018,No Man's Art Gallery & De Bar,52.38236,4.8553905,Bar
5,Bos en Lommer,52.380688,4.855018,Kratiam Thai,52.38002142525989,4.853776208444199,Thai Restaurant
6,Bos en Lommer,52.380688,4.855018,De Nieuwe Boekhandel,52.378839004918376,4.851355458365139,Bookstore
7,Bos en Lommer,52.380688,4.855018,Loving Hut,52.380880842489255,4.854257522705195,Vegetarian / Vegan Restaurant
8,Bos en Lommer,52.380688,4.855018,CrossfitAKA WZ,52.38245331974103,4.8576264618954585,Gymnastics Gym
9,Bos en Lommer,52.380688,4.855018,Warung Solo,52.3821352540197,4.855695374670506,Indonesian Restaurant
10,Bos en Lommer,52.380688,4.855018,Bistro Bos,52.382328576284756,4.855823934228664,Bistro
11,Bos en Lommer,52.380688,4.855018,Wachterliedplantsoen,52.37753383798437,4.8536510523068195,Park
12,Bos en Lommer,52.380688,4.855018,BBROOD,52.378419646381154,4.848658726163307,Bakery
13,Bos en Lommer,52.380688,4.855018,Vishandel Gebr. Molenaar,52.37898046836203,4.850709662674284,Seafood Restaurant
14,Bos en Lommer,52.380688,4.855018,Seyidoglu Istanbul Baklava & Patisserie,52.378599235068904,4.849694300334476,Dessert Shop
15,Bos en Lommer,52.380688,4.855018,'t Binnepretje,52.38147622457105,4.855743605024839,Bar
16,Bos en Lommer,52.380688,4.855018,Frank & Lydia's Italiaanse IJssalon,52.380466162656106,4.854234059016392,Ice Cream Shop
17,Bos en Lommer,52.380688,4.855018,Kinderboerderij Nieuw Bos en Lommer,52.377225205859105,4.85465227264058,Playground
18,Bos en Lommer,52.380688,4.855018,Odin Bos en Lommer,52.37865969511697,4.850263056216304,Food & Drink Shop
19,Bos en Lommer,52.380688,4.855018,Podium Mozaïek,52.3800294787642,4.853807279048125,Performing Arts Venue
20,Bos en Lommer,52.380688,4.855018,Primera,52.37864387826448,4.849819487393549,Paper / Office Supplies Store
21,Bos en Lommer,52.380688,4.855018,Buongiorno Espressobar,52.380686,4.854965,Coffee Shop
22,Bos en Lommer,52.380688,4.855018,Ocean Sushi,52.38243660395844,4.855318665504456,Sushi Restaurant
23,Bos en Lommer,52.380688,4.855018,De Vliegende Schotel,52.3808124833892,4.854036569595337,Vegetarian / Vegan Restaurant
24,Bos en Lommer,52.380688,4.855018,Café 't Lommertje,52.378669796802114,4.8504668390041035,Bar
25,Bos en Lommer,52.380688,4.855018,Action,52.384132232502296,4.8569512696515185,Discount Store
26,Bos en Lommer,52.380688,4.855018,De Biergrill,52.37840414291892,4.848888861158828,Burger Joint
27,Bos en Lommer,52.380688,4.855018,Bakker v.d. Heijden,52.37923,4.852834,Bakery
28,Bos en Lommer,52.380688,4.855018,Bar Roseval,52.38288316042685,4.850940275393371,Gastropub
29,Bos en Lommer,52.380688,4.855018,Albert Heijn,52.381711951241755,4.856171629856105,Supermarket
30,Bos en Lommer,52.380688,4.855018,De Fluiter,52.37914696094529,4.856779816794758,Bar
31,Bos en Lommer,52.380688,4.855018,Snackbar Nefertiti,52.37853142549829,4.854142205883233,Snack Place
32,Bos en Lommer,52.380688,4.855018,Sanitairwinkel.nl,52.38203301882202,4.8583368153545,Furniture / Home Store
33,Bos en Lommer,52.380688,4.855018,Domino's Pizza,52.37900182164989,4.85182919605141,Pizza Place
34,Bos en Lommer,52.380688,4.855018,Halte Egidiusstraat,52.37907965204915,4.851417537573644,Tram Station
35,Bos en Lommer,52.380688,4.855018,Egidiusstraat,52.378123357632276,4.852330759513948,Tram Station
36,Bos en Lommer,52.380688,4.855018,Odin Coöperatieve Supermarkt,52.3785865,4.8503777,Health Food Store
37,Bos en Lommer,52.380688,4.855018,Nedcars Autoverhuur BV,52.37990195822973,4.86116859001956,Rental Car Location
38,Staatsliedenbuurt,52.382233,4.870997,De Buurman Amsterdam,52.382609031184295,4.870738962411777,Turkish Restaurant
39,Staatsliedenbuurt,52.382233,4.870997,Cafe De Pianist,52.38335296684465,4.872312172785713,Bar
40,Staatsliedenbuurt,52.382233,4.870997,Pendergast,52.38485820725974,4.871349443996078,BBQ Joint
41,Staatsliedenbuurt,52.382233,4.870997,Bella Storia,52.3836999901087,4.874161133413132,Italian Restaurant
42,Staatsliedenbuurt,52.382233,4.870997,Vleesch Noch Visch,52.37959370504668,4.871529174790932,Vegetarian / Vegan Restaurant
43,Staatsliedenbuurt,52.382233,4.870997,Back To Black,52.37947627695172,4.871628357514072,Coffee Shop
44,Staatsliedenbuurt,52.382233,4.870997,Van Beuningenplein,52.381045249339266,4.870196846421709,Plaza
45,Staatsliedenbuurt,52.382233,4.870997,Shape-all-in,52.379399038880955,4.871916528244206,Gym / Fitness Center
46,Staatsliedenbuurt,52.382233,4.870997,Café Restaurant Amsterdam,52.38407188318563,4.8684648994303705,Restaurant
47,Staatsliedenbuurt,52.382233,4.870997,CoffeeRoastery Westerpark,52.384528,4.875366,Coffee Shop
48,Staatsliedenbuurt,52.382233,4.870997,Sunday Market,52.38593425354531,4.872035198575878,Flea Market
49,Staatsliedenbuurt,52.382233,4.870997,Brouwerij Troost Westergas,52.38611906882989,4.872878259689969,Brewery
50,Staatsliedenbuurt,52.382233,4.870997,Cafe Restaurant Piet de Gruyter,52.38441732066034,4.875113264044654,Gastropub
51,Staatsliedenbuurt,52.382233,4.870997,De Bakkerswinkel,52.385689694265025,4.8748137279058,Bakery
52,Staatsliedenbuurt,52.382233,4.870997,LUDO & HEDO,52.379567,4.871157,Ice Cream Shop
53,Staatsliedenbuurt,52.382233,4.870997,Espressofabriek,52.38622155750221,4.8719751989721365,Coffee Shop
54,Staatsliedenbuurt,52.382233,4.870997,Braai,52.385026735339586,4.874944584469303,BBQ Joint
55,Staatsliedenbuurt,52.382233,4.870997,Koffie ende Koeck,52.385258,4.8716707,Café
56,Staatsliedenbuurt,52.382233,4.870997,De Avondmarkt,52.38308063675192,4.876866341185361,Grocery Store
57,Staatsliedenbuurt,52.382233,4.870997,Bioscoop het Ketelhuis,52.38634009502191,4.873498724566273,Indie Movie Theater
58,Staatsliedenbuurt,52.382233,4.870997,Café Nassau,52.383069581936304,4.8770216531118376,Café
59,Staatsliedenbuurt,52.382233,4.870997,Broer,52.37979737769574,4.876982867717743,Bar
60,Staatsliedenbuurt,52.382233,4.870997,"Zuiveringshal, Westergasterrein",52.38597325246199,4.872379618354522,Nightclub
61,Staatsliedenbuurt,52.382233,4.870997,Tony's Chocolonely Store,52.38606863549906,4.87450089917691,Chocolate Shop
62,Staatsliedenbuurt,52.382233,4.870997,IJscuypje,52.386358,4.872466,Ice Cream Shop
63,Staatsliedenbuurt,52.382233,4.870997,Pacific,52.38598063076183,4.871377448269955,Bar
64,Staatsliedenbuurt,52.382233,4.870997,Café/Restaurant Uitvlugt,52.381805,4.8673816,Restaurant
65,Staatsliedenbuurt,52.382233,4.870997,Snackbar Hanny,52.384024887094945,4.87006648144946,Snack Place
66,Staatsliedenbuurt,52.382233,4.870997,Pomme D'or,52.385765619717354,4.870481193778727,Market
67,Staatsliedenbuurt,52.382233,4.870997,Paviljoen van Beuningen,52.38110300604963,4.870159015622614,Breakfast Spot
68,Staatsliedenbuurt,52.382233,4.870997,Jam studios Amsterdam,52.38488795430807,4.866866070120463,Music Venue
69,Staatsliedenbuurt,52.382233,4.870997,Biercafé Brel,52.38417175084454,4.870023041731422,Beer Bar
70,Staatsliedenbuurt,52.382233,4.870997,Filmhuis Cavia,52.38195,4.870067,Indie Movie Theater
71,Staatsliedenbuurt,52.382233,4.870997,Visseringstaete,52.378365257577954,4.869514569769862,Hotel
72,Jordaan,52.375251,4.877648000000001,Mr. Jordaan Hotel,52.374666644840715,4.88009384923566,Hostel
73,Jordaan,52.375251,4.877648000000001,The Jitterbug Saloon,52.37446,4.8776197,Cocktail Bar
74,Jordaan,52.375251,4.877648000000001,Salvatorica,52.37689707294756,4.878790678702957,Italian Restaurant
75,Jordaan,52.375251,4.877648000000001,De Nieuwe Lelie,52.3752936494885,4.880842584911227,Bar
76,Jordaan,52.375251,4.877648000000001,Morgan & Mees,52.37423185378902,4.874842248049526,Hotel
77,Jordaan,52.375251,4.877648000000001,Mantoe,52.37545443871328,4.880783006119838,Afghan Restaurant
78,Jordaan,52.375251,4.877648000000001,Croissanterie Friends,52.37403826980931,4.875116469007521,Coffee Shop
79,Jordaan,52.375251,4.877648000000001,Salmuera,52.37326093062148,4.879471931545098,Latin American Restaurant
80,Jordaan,52.375251,4.877648000000001,Paradox,52.37457970826493,4.8813144476739945,Marijuana Dispensary
81,Jordaan,52.375251,4.877648000000001,P&T Exclusive,52.37314210858073,4.878223357141062,Salon / Barbershop
82,Jordaan,52.375251,4.877648000000001,Café Chris,52.37422411587716,4.881570166341709,Bar
83,Jordaan,52.375251,4.877648000000001,Urban Cacao,52.372719,4.877278,Chocolate Shop
84,Jordaan,52.375251,4.877648000000001,Equal Yoga,52.372486311264126,4.877573260441148,Yoga Studio
85,Jordaan,52.375251,4.877648000000001,Fjällräven,52.37245203460941,4.87691071792107,Clothing Store
86,Jordaan,52.375251,4.877648000000001,Raw Materials - The home store,52.37233534267913,4.876655514314,Furniture / Home Store
87,Jordaan,52.375251,4.877648000000001,Kessens,52.373800316876,4.881990847017862,Café
88,Jordaan,52.375251,4.877648000000001,La Perla,52.37701278030078,4.881970923745858,Pizza Place
89,Jordaan,52.375251,4.877648000000001,Health Club Jordaan,52.37296939410233,4.880215040534359,Gym / Fitness Center
90,Jordaan,52.375251,4.877648000000001,Westerbos,52.37465204855086,4.87297300006417,Bakery
91,Jordaan,52.375251,4.877648000000001,De Nieuwe Anita,52.37419107509972,4.872664144343654,Cocktail Bar
92,Jordaan,52.375251,4.877648000000001,Monte Pelmo,52.37751118542887,4.881641446769317,Ice Cream Shop
93,Jordaan,52.375251,4.877648000000001,Orontes West,52.37474004074881,4.872927825636604,Mediterranean Restaurant
94,Jordaan,52.375251,4.877648000000001,Plato Loco,52.37799063489079,4.874099224273423,Caribbean Restaurant
95,Jordaan,52.375251,4.877648000000001,Café Sonneveld,52.37629889244355,4.882363936096183,Café
96,Jordaan,52.375251,4.877648000000001,Coffee & Juices,52.374776360118574,4.872654329505546,Coffee Shop
97,Jordaan,52.375251,4.877648000000001,Chez Lorraine,52.37250921602004,4.88072857260704,Coffee Shop
98,Jordaan,52.375251,4.877648000000001,Akitsu,52.372246,4.875191,Japanese Restaurant
99,Jordaan,52.375251,4.877648000000001,De Nieuwe Yogaschool,52.371581126194954,4.878668053673027,Yoga Studio
100,Jordaan,52.375251,4.877648000000001,Sento Spa & Health,52.37803731232872,4.878693066226278,Gym
101,Jordaan,52.375251,4.877648000000001,Simon Lévelt,52.37418482742383,4.883172795968541,Food & Drink Shop
102,Jordaan,52.375251,4.877648000000001,The Cold Pressed Juicery,52.37507302505723,4.883178475662585,Juice Bar
103,Jordaan,52.375251,4.877648000000001,Nieuws The Peoples Giftstore,52.37357776493795,4.883145798881752,Gift Shop
104,Jordaan,52.375251,4.877648000000001,Moeders,52.3718154,4.8749855,Dutch Restaurant
105,Jordaan,52.375251,4.877648000000001,Coffeeshop 1e Hulp,52.37158856330672,4.875873137401407,Marijuana Dispensary
106,Jordaan,52.375251,4.877648000000001,Café 't Smalle,52.37669961830621,4.88424345710036,Bar
107,Jordaan,52.375251,4.877648000000001,d&a Hummus Bistro,52.3783524750886,4.882680512899208,Bistro
108,Jordaan,52.375251,4.877648000000001,Hotel Pulitzer,52.37278923725916,4.883465766906738,Hotel
109,Jordaan,52.375251,4.877648000000001,Fuoco Vivo,52.37166363906874,4.873550157209708,Italian Restaurant
110,Jordaan,52.375251,4.877648000000001,Pause,52.372792362711856,4.883682725966019,Café
111,Jordaan,52.375251,4.877648000000001,Anne Frank House (Anne Frank Huis),52.375066672280745,4.883900284767151,Historic Site
112,Jordaan,52.375251,4.877648000000001,Hugo de Grootplein,52.3746820814524,4.87310372053296,Plaza
113,Jordaan,52.375251,4.877648000000001,Comestibles Kinders,52.37801841401186,4.881440749487124,Sandwich Place
114,Jordaan,52.375251,4.877648000000001,Sterk Amsterdam,52.371549,4.873769,Grocery Store
115,Jordaan,52.375251,4.877648000000001,Wilde Westen Marnixstraat,52.371554,4.875847,Pizza Place
116,Jordaan,52.375251,4.877648000000001,Polaberry,52.372401458350375,4.882856333261971,Dessert Shop
117,Jordaan,52.375251,4.877648000000001,Westermarkt,52.374101854587074,4.883861604892192,Plaza
118,Jordaan,52.375251,4.877648000000001,The Good Companion,52.377823118663336,4.879807213580044,Fish & Chips Shop
119,Jordaan,52.375251,4.877648000000001,Shah Jahan,52.377952,4.883446,Indian Restaurant
120,Jordaan,52.375251,4.877648000000001,Moooi,52.37808611082686,4.882064661421085,Furniture / Home Store
121,Jordaan,52.375251,4.877648000000001,Lazagne,52.37836530761993,4.875262971204816,Italian Restaurant
122,Jordaan,52.375251,4.877648000000001,Prinsengrachtconcert,52.37310967669519,4.8828663930308736,Music Venue
123,Jordaan,52.375251,4.877648000000001,Drupa Coffee Roasters,52.378038,4.883389,Coffee Shop
124,Jordaan,52.375251,4.877648000000001,Koh-I-Noor,52.374063095033705,4.8837315583793925,Indian Restaurant
125,Jordaan,52.375251,4.877648000000001,Cup à la Cake,52.37407887900531,4.88401769007756,Cupcake Shop
126,Jordaan,52.375251,4.877648000000001,Amsterdam Cheese Museum,52.37636221791381,4.884200692176819,Museum
127,Jordaan,52.375251,4.877648000000001,Songkran,52.379266,4.879484,Thai Restaurant
128,Jordaan,52.375251,4.877648000000001,De Blauwe Pan,52.37804313671336,4.881442125723925,Café
129,Jordaan,52.375251,4.877648000000001,De Zagerij,52.37819579230928,4.881780532190885,Restaurant
130,Jordaan,52.375251,4.877648000000001,Cinema Paradiso,52.37834331262415,4.881562497278125,Italian Restaurant
131,Jordaan,52.375251,4.877648000000001,Tramhalte Marnixplein,52.37846089947577,4.878485788996814,Tram Station
132,Jordaan,52.375251,4.877648000000001,"Coffeeshop ""The Spirit""",52.378242175683006,4.882983734720588,Marijuana Dispensary
133,Jordaan,52.375251,4.877648000000001,Pe-Pe,52.37831073475305,4.882560850019408,Italian Restaurant
134,Jordaan,52.375251,4.877648000000001,GVB Bushalte 18,52.37887741725009,4.875240172905394,Bus Stop
135,Jordaan,52.375251,4.877648000000001,Karthuizerhof (Huiszittenweduwenhof),52.378626,4.881425,Garden
136,Negen straatjes,52.370399,4.884536,Jumbo City,52.37036857552296,4.885126888841693,Organic Grocery
137,Negen straatjes,52.370399,4.884536,9 Straatjes,52.370251003922746,4.885906512058938,Shopping Mall
138,Negen straatjes,52.370399,4.884536,The Dylan,52.36927295143073,4.88400377455467,Hotel
139,Negen straatjes,52.370399,4.884536,Mendo,52.37038289439928,4.883754649548882,Bookstore
140,Negen straatjes,52.370399,4.884536,Pompadour,52.368887,4.885845,Chocolate Shop
