Borough,Latitude,Longitude
Bos en Lommer,52.380688,4.855018
Staatsliedenbuurt,52.382233,4.870997
Jordaan,52.375251,4.877648
Negen straatjes,52.370399,4.884536
Oud-West,52.364865,4.866
De Wallen,52.371694,4.896058
De Baarsjes,52.369763,4.853405
Hoofddorppleinbuurt,52.351672,4.85163
Oud-Zuid,52.348146,4.871722
Museumkwartier,52.357201,4.879887
De Pijp,52.353585,4.898107
Rivierenbuurt,52.34311,4.900426
Weesperzijde,52.355435,4.9151
Plantagebuurt,52.364886,4.911367
Grachtengordel Zuid,52.363626,4.89225
Grachtengordel West,52.377485,4.890095
