,Borough,Borough Latitude,Borough Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Amstelveld,52.36312,4.898801,Concerto Records,52.36345442966057,4.898401178297317,Record Shop
1,Amstelveld,52.36312,4.898801,Cheesy Cakes,52.361595,4.8996015,Dessert Shop
2,Amstelveld,52.36312,4.898801,Bistrot des Alpes,52.36200040873267,4.901349861506372,French Restaurant
3,Amstelveld,52.36312,4.898801,Waldorf Astoria Amsterdam,52.36472,4.8970037,Hotel
4,Amstelveld,52.36312,4.898801,Kaashuis Tromp,52.36252893796878,4.898756159512638,Cheese Shop
5,Amstelveld,52.36312,4.898801,PAZ Open Fire Cooking,52.361324928310474,4.899156689643859,Steakhouse
6,Amstelveld,52.36312,4.898801,Concerto Koffie,52.363550563424496,4.898333323591376,Coffee Shop
7,Amstelveld,52.36312,4.898801,Meat and Greek,52.36238767047199,4.898872691183374,Greek Restaurant
8,Amstelveld,52.36312,4.898801,Boerejongens,52.36487630203137,4.897870842548237,Marijuana Dispensary
9,Amstelveld,52.36312,4.898801,The Lebanese Sajeria,52.36337,4.898388,Lebanese Restaurant
10,Amstelveld,52.36312,4.898801,Ku Kitchen & Bar,52.36172194013589,4.8990557970130935,Japanese Restaurant
11,Amstelveld,52.36312,4.898801,Pigs & Punch,52.36446580421733,4.898002669750679,Cocktail Bar
12,Amstelveld,52.36312,4.898801,De Koffie Salon,52.36126996561652,4.89927390341005,Coffee Shop
13,Amstelveld,52.36312,4.898801,Van Soest,52.36124624215639,4.899298134953799,Chocolate Shop
14,Amstelveld,52.36312,4.898801,De Utrechtsedwarstafel,52.3617490810875,4.900500113828736,Restaurant
15,Amstelveld,52.36312,4.898801,Amstelveld,52.36217947479862,4.896948949689704,Plaza
16,Amstelveld,52.36312,4.898801,Guts and Glory,52.36572785712078,4.897594483496152,Restaurant
17,Amstelveld,52.36312,4.898801,SLA,52.365603257816254,4.89767706567502,Salad Place
18,Amstelveld,52.36312,4.898801,Koninklijk Theater Carré,52.362413921185755,4.90404413699943,Theater
19,Amstelveld,52.36312,4.898801,Café Gollem,52.36609608002455,4.899886250495911,Beer Bar
20,Amstelveld,52.36312,4.898801,Frederix,52.361286,4.900432,Coffee Shop
21,Amstelveld,52.36312,4.898801,Rembrandtplein,52.36610324517973,4.8961385766888155,Plaza
22,Amstelveld,52.36312,4.898801,212,52.365899,4.900354,French Restaurant
23,Amstelveld,52.36312,4.898801,Le Bouchon Du Centre,52.360416507644125,4.896560133224674,French Restaurant
24,Amstelveld,52.36312,4.898801,Foam,52.363984,4.893353,Art Museum
25,Amstelveld,52.36312,4.898801,Brasserie NeL,52.36226,4.896681,Brasserie
26,Amstelveld,52.36312,4.898801,Eatmosfera,52.36611528135618,4.895121064558599,Italian Restaurant
27,Amstelveld,52.36312,4.898801,Juice to Boost,52.365915922310535,4.894942939281463,Juice Bar
28,Amstelveld,52.36312,4.898801,Zaal 1 | Pathé Tuschinski,52.366255491628515,4.894519035534994,Movie Theater
29,Amstelveld,52.36312,4.898801,Starbucks,52.36607678472145,4.897430803910262,Coffee Shop
30,Amstelveld,52.36312,4.898801,Independent Outlet Skateboards Amsterdam,52.36448477126222,4.892613071061886,Clothing Store
31,Amstelveld,52.36312,4.898801,Hermitage Amsterdam,52.36549239648022,4.903189630504625,Art Museum
32,Amstelveld,52.36312,4.898801,Pathé Tuschinski,52.36662003253076,4.894706145646054,Multiplex
33,Amstelveld,52.36312,4.898801,Delight Yoga,52.36225863752282,4.905868401201756,Yoga Studio
34,Amstelveld,52.36312,4.898801,Dignita Hoftuin,52.36560821263587,4.904463683198305,Tea Room
35,Amstelveld,52.36312,4.898801,De Kleine Komedie,52.367050008555175,4.895938171452686,Theater
36,Amstelveld,52.36312,4.898801,Hotel Banks Mansion,52.365261777905495,4.893009942113098,Hotel
37,Amstelveld,52.36312,4.898801,The Amsterdam Canal Hotel,52.35954023582205,4.895997724208343,Hotel
38,Amstelveld,52.36312,4.898801,Patisserie Holtkamp,52.36171372826381,4.8916104408710614,Pastry Shop
39,Amstelveld,52.36312,4.898801,Senses,52.36582911878608,4.8932236433029175,Restaurant
40,Amstelveld,52.36312,4.898801,Pho King,52.366789,4.894902,Vietnamese Restaurant
41,Amstelveld,52.36312,4.898801,Cocomama,52.35873791363335,4.898740023131746,Hostel
42,Amstelveld,52.36312,4.898801,De Vlieger,52.367027668177045,4.895306268875648,Arts & Crafts Store
43,Amstelveld,52.36312,4.898801,Van Beek Art Supplies,52.35953496692089,4.893783571805667,Arts & Crafts Store
44,Amstelveld,52.36312,4.898801,Al Bacaro,52.36331756498229,4.892117290194552,Italian Restaurant
45,Amstelveld,52.36312,4.898801,Zoku,52.363891,4.906723,Hotel
46,Amstelveld,52.36312,4.898801,Museum Van Loon,52.36361094793346,4.893333728414666,Museum
47,Amstelveld,52.36312,4.898801,Uliveto Nobili Ingredienti,52.35923560657794,4.89646503543813,Deli / Bodega
48,Amstelveld,52.36312,4.898801,Nationale Opera & Ballet (Nationale Opera & Ballet (Stopera)),52.367411209079556,4.901275634765625,Opera House
49,Amstelveld,52.36312,4.898801,Eetsalon Van Dobben,52.365988609528,4.894992763349746,Sandwich Place
50,Amstelveld,52.36312,4.898801,Amstel 54,52.36702007953439,4.895764358266118,Gay Bar
51,Amstelveld,52.36312,4.898801,Puccini Bomboni,52.36817319620536,4.898408864788811,Candy Store
52,Amstelveld,52.36312,4.898801,Hotel de l'Europe,52.36742676987734,4.894405339154653,Hotel
53,Amstelveld,52.36312,4.898801,Stadsarchief - De Bazel,52.364344008281364,4.892151602023418,Library
54,Amstelveld,52.36312,4.898801,Door 74,52.36602201855714,4.893496504930046,Speakeasy
55,Amstelveld,52.36312,4.898801,Amstel Bar & Brasserie,52.36001532958312,4.904962956008391,French Restaurant
56,Amstelveld,52.36312,4.898801,InterContinental Amstel Amsterdam,52.3600068,4.9051643,Hotel
57,Amstelveld,52.36312,4.898801,Mulligans Irish Bar,52.367053231662794,4.89673654966357,Irish Pub
58,Amstelveld,52.36312,4.898801,Coffeeshop Balou,52.366783866613574,4.895820731505783,Marijuana Dispensary
59,Amstelveld,52.36312,4.898801,'t Hooischip,52.36659620017854,4.901430338350518,Bar
60,Amstelveld,52.36312,4.898801,Thai Corner,52.35947927644662,4.893135457576222,Thai Restaurant
61,Amstelveld,52.36312,4.898801,De Hapjeshoek,52.36728945690407,4.902028933557249,South American Restaurant
62,Amstelveld,52.36312,4.898801,HIGH STUDIOS,52.364273177627396,4.906484484672546,Gym / Fitness Center
63,Amstelveld,52.36312,4.898801,Droog Amsterdam (Droog),52.368375016644876,4.897672197742149,Design Studio
64,Amstelveld,52.36312,4.898801,"""Krua Thai"" Classic",52.36820680584025,4.898012459850418,Thai Restaurant
65,Amstelveld,52.36312,4.898801,Burger Bar,52.366963858869966,4.893953520454415,Burger Joint
66,Amstelveld,52.36312,4.898801,Marie,52.36734180820806,4.89405686391278,French Restaurant
67,Amstelveld,52.36312,4.898801,Marbles Vintage & Design,52.36810991711923,4.8985107716791685,Women's Store
68,Amstelveld,52.36312,4.898801,The Old Church Coffeeshop,52.36712709733568,4.894142397519939,Smoke Shop
69,Amstelveld,52.36312,4.898801,Adesso - Koffie & Broodjes,52.36828652647205,4.8971723538083864,Sandwich Place
70,Amstelveld,52.36312,4.898801,De Fles,52.3622314997314,4.892045948026532,Gastropub
71,Amstelveld,52.36312,4.898801,Hotel Droog,52.368375016644876,4.897672197742149,Hotel
72,Amstelveld,52.36312,4.898801,Castillo Tapas y Steaks,52.36603571826898,4.893490058351927,Argentinian Restaurant
73,Amstelveld,52.36312,4.898801,Dirk Witte,52.36561851896284,4.893130263988597,Music Store
74,Amstelveld,52.36312,4.898801,Puccini Espressobar,52.368126393677734,4.898638071022571,Italian Restaurant
75,Amstelveld,52.36312,4.898801,Hotel The Bird,52.36699494437471,4.895130219367649,Hotel
76,Amstelveld,52.36312,4.898801,Pathé De Munt - Zaal 3,52.36648447766857,4.89333902559972,Movie Theater
77,Amstelveld,52.36312,4.898801,Joods Historisch Museum,52.3672275866975,4.904140277686017,History Museum
78,Amstelveld,52.36312,4.898801,Asian Kitchen,52.366616660477,4.893176328253022,Chinese Restaurant
79,Amstelveld,52.36312,4.898801,Café de Jaren,52.36795609763071,4.895555168247901,Café
80,Amstelveld,52.36312,4.898801,La Purete,52.36467665227442,4.892612232377789,Café
81,Amstelveld,52.36312,4.898801,Bar Dó,52.36089510880668,4.891347848952943,Bar
82,Amstelveld,52.36312,4.898801,Pathé De munt - Zaal 2,52.36643740730782,4.894035736309465,Movie Theater
83,Amstelveld,52.36312,4.898801,Sterk Staaltje,52.3683144831533,4.897048284009951,Deli / Bodega
84,Amstelveld,52.36312,4.898801,Feijoa,52.36599781227163,4.89327996969223,Cocktail Bar
85,Amstelveld,52.36312,4.898801,Gauchos,52.36670697298532,4.894028306007385,Steakhouse
86,Amstelveld,52.36312,4.898801,FAME,52.3668969540607,4.895476698875426,Gay Bar
87,Amstelveld,52.36312,4.898801,Trattoria That's Amore,52.361604449698575,4.891518098100221,Italian Restaurant
88,Amstelveld,52.36312,4.898801,The Albus,52.36577940539246,4.8931519134368235,Hotel
89,Amstelveld,52.36312,4.898801,Cafe Droog,52.368375016644876,4.897672197742149,Café
90,Amstelveld,52.36312,4.898801,Muntplein,52.36710007316431,4.893205523937386,Plaza
91,Amstelveld,52.36312,4.898801,Freddy's Bar,52.367605,4.894083,Bar
92,Amstelveld,52.36312,4.898801,Le Mortier,52.36053693668949,4.891207293168095,Bakery
93,Amstelveld,52.36312,4.898801,Bar Lempicka,52.360606789371666,4.904834265665871,Bar
94,Amstelveld,52.36312,4.898801,Blauwbrug,52.366827462542766,4.901677317802169,Café
95,Amstelveld,52.36312,4.898801,Greenhouse Namaste,52.3668927655592,4.9020095702497954,Marijuana Dispensary
96,Amstelveld,52.36312,4.898801,Tokoman,52.367065045225104,4.9020508315126,South American Restaurant
97,Amstelveld,52.36312,4.898801,Stan En Co,52.36207,4.907036,Theme Restaurant
98,Amstelveld,52.36312,4.898801,Avram Grill Restaurant,52.36686919515765,4.9017573656130455,Steakhouse
99,Bos en Lommer,52.380688,4.855018,Friedhats FUKU cafe,52.381161369317034,4.8552475021908865,Coffee Shop
100,Bos en Lommer,52.380688,4.855018,Samen - Lunch & Juice,52.382615530467305,4.855640000488831,Café
101,Bos en Lommer,52.380688,4.855018,Hartje Bos,52.37902883862678,4.85661337911575,Sandwich Place
102,Bos en Lommer,52.380688,4.855018,Restaurant Betawi,52.38098433022274,4.854042239794505,Indonesian Restaurant
103,Bos en Lommer,52.380688,4.855018,Kratiam Thai,52.38002142525989,4.853776208444199,Thai Restaurant
104,Bos en Lommer,52.380688,4.855018,No Man's Art Gallery & De Bar,52.38236,4.8553905,Bar
105,Bos en Lommer,52.380688,4.855018,De Nieuwe Boekhandel,52.378839004918376,4.851355458365139,Bookstore
